depdelay,arrdelay,scheduleddepartdatetime,origin,dest,uniquecarrier,marketshareorigin,marketsharedest,hhiorigin,hhidest,nonhubairportorigin,smallhubairportorigin,mediumhubairportorigin,largehubairportorigin,nonhubairportdest,smallhubairportdest,mediumhubairportdest,largehubairportdest,nonhubairlineorigin,smallhubairlineorigin,mediumhubairlineorigin,largehubairlineorigin,nonhubairlinedest,smallhubairlinedest,mediumhubairlinedest,largehubairlinedest,year,month,dayofmonth,dayofweek,scheduledhour,originairportid,destairportid,tailnum,capacity,loadfactor,numflights,origincityname,originstate,distance,monopolyroute,temperature,temp_ninfty_n10,temp_n10_0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_40_infty,windspeed,windspeedsquare,windgustdummy,windgustspeed,raindummy,raintracedummy,snowdummy,snowtracedummy,originmetropop,originmetrogdppercapita,destmetropop,destmetrogdppercapita
17,14,05-Jan-2004 10:25:00,SLC,MSP,OO,.5068993,.0014788038,.34176266,.59046286,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2004,1,5,1,10,14869,13487,N412SW,55,.93333334,19.804001,"Salt Lake City, UT",UT,991,0,-5.33214285714286,0,1,0,0,0,0,0,6.55357142857143,42.9492984693878,0,0,0,0,0,0,1030597,45043.602,3106569,55211.586
85,106,01-Jan-2004 10:00:00,RNO,LAX,AS,.072270826,.034267589,.27736381,.1367489,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2004,1,1,4,10,14570,12892,N760AS,149,.53517383,17.209,"Reno, NV",NV,390,0,2.2,0,0,1,0,0,0,0,35,1225,1,0,1,0,0,0,385049,49079.727,12764590,49943.961
0,-3,02-Jan-2004 18:45:00,PBI,ATL,DL,.26144579,.5007568,.14686891,.31958899,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2004,1,2,5,18,14027,10397,N110DL,2,.78485703,19.056,"West Palm Beach/Palm Beach, FL",FL,545,0,22.9733333333333,0,0,0,0,1,0,0,7,49,0,0,0,0,0,0,5362678,41555.992,4802300,49081.773
-7,-7,19-Jan-2004 11:16:00,DEN,ORD,AA,.057828482,.26594931,.36196595,.22355977,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2004,1,19,1,11,11292,13930,N485AA,172,.57010007,19.539,"Denver, CO",CO,888,0,4.28181818181818,0,0,1,0,0,0,0,3.18181818181818,10.1239669421488,0,0,0,0,0,0,2321712,52610.918,9332090,49360.027
0,2,07-Jan-2004 18:30:00,ATL,BOS,DL,.5007568,.15184125,.31958899,.11621226,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2004,1,7,3,18,10397,10721,N843MH,300,.72014838,19.256001,"Atlanta, GA",GA,946,0,-0.386666666666667,0,1,0,0,0,0,0,7.38333333333333,54.5136111111111,0,0,0,0,0,0,4802300,49081.773,4456479,59670.695
9,2,13-Jan-2004 11:45:00,STL,MCI,WN,.33607379,.40507859,.23523068,.20534758,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2004,1,13,2,11,15016,13198,N652,2,.59475362,19.242001,"St. Louis, MO",MO,237,1,6.83529411764706,0,0,1,0,0,0,0,4.76470588235294,22.7024221453287,0,0,0,0,0,0,2759153,41982.703,1935840,42934.125
-3,5,20-Jan-2004 16:25:00,ATL,BMI,FL,.13532631,.36021507,.31958899,.53907967,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2004,1,20,2,16,10397,10685,N987AT,100,.69040835,19.246,"Atlanta, GA",GA,533,1,7.2,0,0,1,0,0,0,0,5.66666666666667,32.1111111111111,0,0,0,0,0,0,4802300,49081.773,216757,35220.086
0,8,15-Jan-2004 22:00:00,BWI,CLE,WN,.54777068,.075274728,.32528204,.304649,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2004,1,15,4,22,10821,11042,N780,2,.58552843,19.555,"Baltimore, MD",MD,314,0,-6.81,0,1,0,0,0,0,0,20.3,412.09,1,31.9,0,0,0,0,2638066,45261.605,2128958,46013.074
-7,-6,08-Jan-2004 09:00:00,SMF,ORD,UA,.083333336,.30666706,.33639988,.22355977,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2004,1,8,4,9,14893,13930,N481UA,200,.73727804,19.579,"Sacramento, CA",CA,1781,1,9.14893617021277,0,0,1,0,0,0,0,10.1063829787234,102.13897691263,0,0,0,0,0,0,2004144,44124.023,9332090,49360.027
64,77,18-Jan-2004 16:25:00,CVG,FLL,DL,.26742321,.16937569,.38632977,.12813057,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2004,1,18,7,16,11193,11697,N901DE,142,.82508069,18.440001,"Cincinnati, OH",KY,932,0,-1.44,0,1,0,0,0,0,0,13.5666666666667,184.054444444444,1,13.0333333333333,0,0,0,0,2083905,43024.18,5362678,41555.992
-3,-1,14-Jan-2004 20:25:00,CLE,STL,XE,.50947803,.062562659,.304649,.23523068,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2004,1,14,3,20,11042,15016,N14907,55,.75531918,19.261,"Cleveland, OH",OH,487,0,-1.98333333333333,0,1,0,0,0,0,0,4.53333333333333,20.5511111111111,0,0,0,0,1,0,2128958,46013.074,2759153,41982.703
0,-6,28-Jan-2004 06:15:00,SLC,LAX,OO,.5068993,.21012948,.34176266,.1367489,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2004,1,28,3,6,14869,12892,N967SW,55,.88826084,19.239,"Salt Lake City, UT",UT,590,0,-1.1,0,1,0,0,0,0,0,5.75,33.0625,0,0,0,0,0,0,1030597,45043.602,12764590,49943.961
74,82,05-Jan-2004 19:20:00,ATL,TPA,DL,.5007568,.16437177,.31958899,.15947269,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2004,1,5,1,19,10397,15304,N980DL,142,.70830458,19.804001,"Atlanta, GA",GA,406,0,8.08181818181818,0,0,1,0,0,0,0,10.7272727272727,115.074380165289,1,0,1,0,0,0,4802300,49081.773,2578104,37131.785
